"team_name" "Rk" "From" "To" "Yrs" "G" "W" "L" "W.L." "SRS" "SOS" "AP" "CREG" "CTRN" "NCAA" "FF" "NC" "paste_url"
"1" "Abilene Christian Wildcats" "1" 1971 2015 "5" "132" "58" "74" ".439" "-17.44" "-4.70" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/abilene-christian/"
"2" "Air Force Falcons" "2" 1958 2015 "57" "1538" "675" "863" ".439" "-1.93" "2.19" "0" "1" "0" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/air-force/"
"3" "Akron Zips" "3" 1902 2015 "64" "1418" "830" "588" ".585" "-0.62" "-1.58" "0" "8" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/akron/"
"4" "Alabama-Birmingham Blazers" "7" 1980 2015 "36" "1146" "713" "433" ".622" "7.06" "3.22" "2" "6" "4" "14" "0" "0" "http://www.sports-reference.com/cbb/schools/alabama-birmingham/"
"5" "Alabama A&M Bulldogs" "4" 2000 2015 "16" "453" "201" "252" ".444" "-15.85" "-11.78" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/alabama-am/"
"6" "Alabama Crimson Tide" "5" 1913 2015 "102" "2581" "1599" "981" ".620" "11.53" "7.00" "15" "10" "7" "20" "0" "0" "http://www.sports-reference.com/cbb/schools/alabama/"
"7" "Alabama State Hornets" "6" 1983 2015 "33" "965" "486" "479" ".504" "-12.40" "-10.19" "0" "4" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/alabama-state/"
"8" "Albany (NY) Great Danes" "8" 2000 2015 "16" "488" "228" "260" ".467" "-7.79" "-6.09" "0" "1" "3" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/albany-ny/"
"9" "Alcorn State Braves" "9" 1978 2015 "38" "1114" "482" "632" ".433" "-13.97" "-8.86" "0" "10" "6" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/alcorn-state/"
"10" "Allegheny Gators" "10" 1896 1916 "21" "234" "191" "41" ".823" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/allegheny/"
"11" "Alliant International Gulls" "11" 1982 1991 "10" "279" "69" "210" ".247" "-18.06" "-5.34" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/alliant-international/"
"12" "American Eagles" "12" 1967 2015 "49" "1376" "695" "681" ".505" "-4.71" "-3.39" "0" "7" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/american/"
"13" "Amherst Lord Jeffs" "13" 1901 1902 "2" "12" "12" "0" "1.000" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/amherst/"
"14" "Appalachian State Mountaineers" "14" 1974 2015 "42" "1222" "610" "612" ".499" "-5.67" "-3.59" "0" "10" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/appalachian-state/"
"15" "Arizona State Sun Devils" "15" 1912 2015 "100" "2400" "1271" "1129" ".530" "8.00" "6.69" "7" "8" "0" "14" "0" "0" "http://www.sports-reference.com/cbb/schools/arizona-state/"
"16" "Arizona Wildcats" "16" 1905 2015 "108" "2573" "1676" "896" ".652" "16.15" "8.23" "23" "21" "4" "31" "4" "1" "http://www.sports-reference.com/cbb/schools/arizona/"
"17" "Arkansas-Little Rock Trojans" "19" 1979 2015 "37" "1096" "613" "483" ".559" "-2.96" "-3.55" "0" "11" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/"
"18" "Arkansas-Pine Bluff Golden Lions" "20" 1999 2015 "17" "501" "150" "351" ".299" "-19.79" "-8.59" "0" "0" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/"
"19" "Arkansas Razorbacks" "17" 1924 2015 "92" "2497" "1600" "897" ".641" "12.63" "5.69" "15" "26" "7" "29" "6" "1" "http://www.sports-reference.com/cbb/schools/arkansas/"
