"V1" "seasons.V1" "seasons_url" "season"
"1" "Abilene Christian Wildcats" "2014-15" "http://www.sports-reference.com/cbb/schools/abilene-christian/2015.html" 2014
"2" "Abilene Christian Wildcats" "2013-14" "http://www.sports-reference.com/cbb/schools/abilene-christian/2014.html" 2013
"3" "Air Force Falcons" "2014-15" "http://www.sports-reference.com/cbb/schools/air-force/2015.html" 2014
"4" "Air Force Falcons" "2013-14" "http://www.sports-reference.com/cbb/schools/air-force/2014.html" 2013
"5" "Air Force Falcons" "2012-13" "http://www.sports-reference.com/cbb/schools/air-force/2013.html" 2012
"6" "Air Force Falcons" "2011-12" "http://www.sports-reference.com/cbb/schools/air-force/2012.html" 2011
"7" "Air Force Falcons" "2010-11" "http://www.sports-reference.com/cbb/schools/air-force/2011.html" 2010
"8" "Air Force Falcons" "2009-10" "http://www.sports-reference.com/cbb/schools/air-force/2010.html" 2009
"9" "Air Force Falcons" "2008-09" "http://www.sports-reference.com/cbb/schools/air-force/2009.html" 2008
"10" "Air Force Falcons" "2007-08" "http://www.sports-reference.com/cbb/schools/air-force/2008.html" 2007
"11" "Air Force Falcons" "2006-07" "http://www.sports-reference.com/cbb/schools/air-force/2007.html" 2006
"12" "Air Force Falcons" "2005-06" "http://www.sports-reference.com/cbb/schools/air-force/2006.html" 2005
"13" "Air Force Falcons" "2004-05" "http://www.sports-reference.com/cbb/schools/air-force/2005.html" 2004
"14" "Air Force Falcons" "2003-04" "http://www.sports-reference.com/cbb/schools/air-force/2004.html" 2003
"15" "Air Force Falcons" "2002-03" "http://www.sports-reference.com/cbb/schools/air-force/2003.html" 2002
"16" "Air Force Falcons" "2001-02" "http://www.sports-reference.com/cbb/schools/air-force/2002.html" 2001
"17" "Air Force Falcons" "2000-01" "http://www.sports-reference.com/cbb/schools/air-force/2001.html" 2000
"18" "Akron Zips" "2014-15" "http://www.sports-reference.com/cbb/schools/akron/2015.html" 2014
"19" "Akron Zips" "2013-14" "http://www.sports-reference.com/cbb/schools/akron/2014.html" 2013
"20" "Akron Zips" "2012-13" "http://www.sports-reference.com/cbb/schools/akron/2013.html" 2012
